"","Hectare","Shift","Date","Anonymized.Sighter","Sighter.Observed.Weather.Data","Litter","Litter.Notes","Other.Animal.Sightings","Hectare.Conditions","Hectare.Conditions.Notes","Number.of.sighters","Number.of.Squirrels","Total.Time.of.Sighting","temperature_fahrenheit","temperature_celsius","sunny","rainy","cloudy","windy","drizzly","foggy","humid"
"145","10G","PM",10172018,242,"60º F, windy, clouds coming in. A couple drops of rain.","None","","Humans","Calm","",1,10,23,60,15.6,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"146","10H","PM",10072018,96,"81º F, Partly Cloudy. Humid.","Some","","Humans, Dogs, Pigeons, Horses","Busy","",1,2,25,81,27.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"147","10I","AM",10102018,67,"Partly cloudy, dewy","Some","","Humans, Dogs","Busy","",1,4,26,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"148","10I","PM",10132018,134,"56° F, Partly Cloudy","None","","Humans, Dogs","Busy","",1,1,25,56,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"149","11A","AM",10142018,13,"Mild (mid-50s), cloudy","Some","","Humans, Dogs, Robins, Small brown birds -- not sparrows","Busy","Noisy and thumpy Avon Walk music from east",1,0,22,50,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"150","11A","PM",10132018,229,"55º F, cloudy","Some","","Humans, Dogs, Rat (with an apple core), Horses, Robin","Busy","",1,5,25,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"151","11B","AM",10072018,35,"71º F, Overcast. Humid","Some","","Humans, Dogs, Pigeons, Horses","Busy","",1,5,30,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"152","11B","PM",10142018,234,"Cool, Cloudy","Some","","Humans, Dogs, Horses","Busy","",1,8,18,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"153","11C","AM",10072018,35,"70º F, Overcast. Humid.","None","","Humans, Dogs","Busy","",1,0,30,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"154","11C","PM",10182018,191,"53º F, Sunset","None","","Humans, Ducks, Blue Jay, Horse!","Calm","",1,1,26,53,11.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155","11D","AM",10102018,83,"72º F, Glasses fogging humid","None","","Humans, Dogs, Blue jays, Robins","Calm","",1,8,20,72,22.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"156","11E","PM",10122018,132,"61º F, sunny","Some","","Humans, Dogs, Pigeons","Busy","",1,7,20,61,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"157","11E","AM",10132018,203,"48º F, rain (from light to steady)","","","Humans, Horses","Busy","",1,4,21,48,8.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"158","11F","AM",10132018,97,"49º F, rainy, overcast, kinda windy","None","","Humans, Dogs, Chickadees","Busy","",1,3,30,49,9.4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"159","11G","AM",10122018,37,"60º F, partly cloudy, windy","Some","","Humans, Blue jays, Robins","Calm","",1,1,20,60,15.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"160","11G","PM",10132018,85,"55º F, cloudy","None","","Humans, Horses","Busy","",1,2,26,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"161","11H","AM",10102018,37,"70º F, Muggy","Some","","Humans, Sparrows","Calm","",1,9,20,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"162","11I","AM",10122018,166,"60º F, windy, partly cloudy","None","","Humans, Dogs","Calm","",1,2,20,60,15.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"163","12A","AM",10082018,123,"66º F, overcast, drizzling, no wind","Some","","Humans, Dogs","Busy","",1,2,20,66,18.9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"164","12A","PM",10132018,229,"55º F, cloudy","Some","","Humans, Dogs, Rat","","",1,4,24,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"165","12B","PM",10182018,151,"50º F, Sunny, Brisk","Some","","Humans, Dogs","Busy","",1,1,20,50,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"166","12B","AM",10072018,260,"70º F, Cloudy","Some","","Dogs","Busy","",1,2,NA,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"167","12C","AM",10132018,203,"48º F, light & steady rain","","","Humans, Dogs, Pigeons, Ducks, Geese","Calm","",1,3,20,48,8.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"168","12C","PM",10172018,249,"partly cloudy, pleasant","Some","","Humans, Waterfowl","Calm","",1,1,22,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"169","12D","AM",10132018,28,"rainy","Some","","Humans, Dogs","Busy","",1,2,23,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"170","12D","PM",10142018,36,"56º F","None","","Humans, Dogs","Calm","",1,3,20,56,13.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"171","12E","AM",10172018,83,"51º F, sunny, clear","Some","","Humans, Dogs, Pigeons, Various bird types","Busy","",1,8,25,51,10.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"172","12E","PM",10182018,191,"53º F, Sunny","None","","Humans, Dogs, Birds, Ducks","Busy","",1,6,23,53,11.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"173","12F","PM",10072018,220,"79º F, Partly Cloudy","","","Humans, Dogs, Pigeons","Busy","",1,15,21,79,26.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"174","12F","AM",10202018,256,"55º F, Cloudy","Some","","Humans, Dogs, Pigeons","Busy","",1,6,35,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"175","12G","AM",10122018,166,"60º F, windy, cloudy","None","","Humans, Dogs, Blue jay, Sparrows","Calm","",1,5,20,60,15.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"176","12H","AM",10072018,235,"71º F, Cloud","Some","","Humans, Dogs, Mandarin Duck","Moderate","",1,0,20,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"177","12I","AM",10132018,8,"46º F, rainy, cold","None","","Humans, Dogs","Calm","",1,1,25,46,7.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"178","12I","PM",10172018,80,"60º F, sunny, very windy","None","","Humans, Dogs","Busy","",1,0,25,60,15.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"179","13A","AM",10172018,83,"49º F, sunny, not a cloud","None","","Humans, Hawks, Dogs, Pigeons, Sparrows, blue jays","Calm","",1,5,22,49,9.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"180","13A","PM",10142018,234,"cool, cloudy","None","","Humans, Dogs","Busy","",1,4,20,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"181","13B","AM",10082018,123,"66º F, overcast, no wind","Some","","Humans, Dogs, Ducks","Busy","",1,0,20,66,18.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"182","13B","PM",10082018,240,"70º F, misting","None","","Humans, Dogs, Sparrows, Rats","Busy","",1,2,20,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"183","13C","PM",10192018,47,"56º F, Overcast","Some","","Humans","Calm","",1,5,25,56,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"184","13C","AM",10102018,83,"71º F Cloudy and wicked humid","Some","","Humans, Dogs, Blue jay, Cardinal, Warbler","Calm, Busy","Sporadically punctuated busy",1,4,20,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"185","13D","PM",10182018,215,"55º F, Sunny","Some","","Humans, Dogs, Pigeons, Cats, Birds, Ducks","Busy","",1,14,27,55,12.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"186","13D","AM",10142018,252,"51º F, cloudy w/sun","Some","","Humans, Dogs","Calm","Loud from concert",1,11,22,51,10.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"187","13E","PM",10082018,184,"66º F, misty, cloudy, humid","Some","","Humans, Dogs","Busy","",1,11,30,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"188","13E","AM",10172018,224,"52º F, sunny & brisk","Some","","Humans, Birds (non-pigeon)","Calm","",1,13,50,52,11.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"189","13F","PM",10082018,127,"66º F, misty, light rain, cloudy","","","Humans","Busy","",1,5,20,66,18.9,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"190","13F","AM",10072018,145,"70-73º F","None","","Humans, Dogs, Small birds","Calm","",1,4,28,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"191","13G","AM",10132018,162,"50º F, rain","None","","Humans","Calm","",1,0,25,50,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"192","13G","PM",10082018,244,"65º F, overcast, light breeze","None","","Humans, Dogs, Sparrows, Robins","Moderate","",1,4,22,65,18.3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"193","13H","PM",10102018,60,"80º F, sunny","Abundant","","Humans, Dogs","Busy","",1,9,25,80,26.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"194","13H","AM",10132018,240,"~60º F, rainy","Some","2-3 pieces","Humans, Dogs, Ducks","Calm","Tour at Alice in Wonderland)",1,1,20,60,15.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"195","13I","AM",10132018,8,"46º F","None","","Humans, Dogs, Ducks","Calm","",1,0,30,46,7.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"196","13I","PM",10082018,127,"66º F, misty, cloudy","Some","","Humans, Dogs, Mice","Busy","",1,1,20,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"197","14A","AM",10142018,13,"mid-50s, cloudy","None","","Humans, Dogs, Pigeons, Finches, Sparrows","Busy","Avon Walk",1,2,21,50,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"198","14A","PM",10142018,36,"57º F","Some","","Humans, Dogs, Small birds","Calm","",1,8,20,57,13.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"199","14B","AM",10072018,28,"67º F, Cloudy","Some","","Woodpecker","Busy","",1,3,NA,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"200","14B","PM",10142018,222,"57º F, overcast","Some","","Humans, Dogs, Rat, Ducks","Calm, Busy","Busy, calm off walkways",1,8,22,57,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"201","14C","PM",10062018,25,"67º F, Gloomy, overcast","Some","","Humans, Dogs, Pigeons","Calm","",1,3,30,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"202","14C","AM",10072018,254,"70º F, Cloudy","Some","","Humans, Dogs","Calm","",1,0,22,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"203","14D","AM",10142018,116,"52º F, mostly cloudy","None","","Humans, Dogs","Calm","Loud music from Bethesda Terrace",1,16,55,52,11.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"204","14D","PM",10192018,151,"60º F, Cloudy","Some","","Humans, Dogs","Busy","",1,16,35,60,15.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"205","14E","PM",10172018,80,"58º F, sunny, breezy","None","","Humans, Dogs","Calm","",1,5,25,58,14.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"206","14E","AM",10082018,203,"65º F, fog, clouds, mist","Some","","Humans","Calm","",1,23,40,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"207","14F","PM",10122018,24,"61º F, sunny, windy","Some","","Humans, Dogs","Calm","",1,9,25,61,16.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"208","14F","AM",10072018,172,"73º F","Some","","Humans, Dogs","Calm","",1,6,29,73,22.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"209","14G","AM",10122018,37,"60º F, partly cloudy, windy","None","","Humans, Dogs, Robins, Horses","Calm","",1,4,20,60,15.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"210","14H","PM",10122018,24,"61º F, sunny, windy, sun going behind trees","Some","","Humans, Dogs (Lots)","Busy","",1,8,20,61,16.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"211","14H","AM",10072018,235,"71-78º F, Cloudy","Some","","Humans, Dogs, Mandarin Ducks","","",1,4,25,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"212","14I","PM",10182018,70,"40º F, Sunny","Some","","Humans, Dogs, Pigeons, Rat","Calm","",1,6,25,40,4.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"213","14I","AM",10132018,240,"~60º F, rainy","None","","Humans, Dogs, Pigeons","Calm, Busy","Calm (in Park), Busy (on Road)",1,1,21,60,15.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"214","15A","PM",10172018,224,"52º F, cloudy, light rain drops, chilly","None","","Humans, Birds","Calm, Busy","Busy at sidewalk",1,1,20,52,11.1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"215","15B","PM",10172018,206,"cool, windy","None","","Humans, Dogs, Birds","Busy","",1,5,40,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"216","15B","AM",10142018,209,"50º F, sunny","None","","Humans, Dogs","Busy","",1,3,20,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"217","15C","AM",10102018,203,"74º F Muggy & cloudy","None","","Humans, Dogs, Crickets","Calm","",1,3,37,74,23.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"218","15C","PM",10172018,249,"got dark very suddenly","Some","","mouse, Rats, Other birds","Calm","",1,5,40,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"219","15D","PM",10172018,163,"61º F, partly cloudy, then some showers","Some","","Humans, Birds, Mouse, Rat","Calm","",1,6,31,61,16.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"220","15E","AM",10132018,132,"47º F, raining","None","","Humans","Calm","",1,4,20,47,8.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"221","15E","PM",10082018,203,"64º F, cloudy","Some","","Humans","Moderate","",1,11,33,64,17.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"222","15F","PM",10102018,60,"80º F Sunny","","","Humans, Dogs","Busy","",1,7,29,80,26.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"223","15F","AM",10072018,145,"73º F, Cloudy","None","","Humans, Dogs","Calm","",1,10,30,73,22.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"224","15G","AM",10082018,67,"damp, misty, cloudy","Some","","Humans, Dogs","Busy","",1,6,23,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"225","15G","PM",10192018,138,"60º F, Mostly Sunny + Slightly Breezy","Some","","Humans, Dogs, Small birds","Calm","",1,12,23,60,15.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"226","15H","AM",10132018,97,"49º F, light rain, cloudy","None","","Humans, Dogs, Bluebird, Chickadees","Calm","",1,3,27,49,9.4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"227","15H","PM",10082018,244,"67º F, overcast, light breeze","None","","Humans, Dogs","Calm","",1,7,21,67,19.4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"228","15I","AM",10082018,67,"damp, humid, cloudy, dreary, misty, not raining, moist","Some","","Humans, Dogs, Sparrows, Crickets, Blue jay","Busy","",1,6,29,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"229","16A","AM",10132018,28,"rainy","","","Humans, Dogs","Calm","",1,2,23,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"230","16A","PM",10192018,88,"58º F, Partly Cloudy","None","","Humans, Dogs, Sparrows","Calm","",1,7,20,58,14.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"231","16B","PM",10172018,206,"cool, windy","None","","Humans, Dogs, Birds","Busy","",1,2,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"232","16B","AM",10142018,209,"50º F, sunny","None","","Humans, Dogs","Busy","",1,2,19,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"233","16C","PM",10182018,1,"51º F, Dry and Clear","Some","","Humans, Birds (unknown), Chipmunk","Busy","",1,3,24,51,10.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"234","16C","AM",10142018,172,"50º F, partly cloudy","Some","","Humans, Dogs","Calm","",1,4,43,50,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"235","16D","PM",10102018,203,"76º F, Sunny, occasional breezes","None","","Humans, Dogs, Butterflies","Moderate","",1,13,28,76,24.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"236","16D","AM",10072018,254,"70º F, Cloudy","Abundant","","Humans","Calm","",1,6,21,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"237","16E","AM",10142018,35,"50º F, sunny","Abundant","","Humans, Dogs, Yoga Class","Calm","",1,10,40,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"238","16E","PM",10182018,267,"48º F, Partly Cloudly","Some","","Humans","Busy","",1,10,35,48,8.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"239","16F","PM",10132018,85,"55º F, clouds","Some","","Humans, Dogs, Raccoon (Dead)","Busy","",1,6,46,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"240","16F","AM",10082018,149,"68º F, moist","Some","","Humans","Calm","",1,3,30,68,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"241","16G","AM",10102018,37,"70º F Muggy and partly cloudy","None","","Humans, Dogs, Sparrows","Busy","",1,5,20,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"242","16G","PM",10172018,104,"62º F, sunny, light breeze","Some","","Humans, Dogs","Busy","",1,1,25,62,16.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"243","16H","AM",10072018,172,"72º F, Overcast","None","","Humans, Dogs","Calm","Calm, but lots of dogs",1,1,20,72,22.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"244","16I","AM",10082018,149,"70º F, moist","Some","","Humans","Calm","",1,4,25,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"245","17A","PM",10132018,141,"50s, sunny","None","","Humans","Busy","",1,3,20,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"246","17A","AM",10172018,255,"Low 50s, cool & sunny","Some","","Humans, Dogs, Pigeons, other Birds","Busy","",1,1,25,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"247","17B","PM",10122018,29,"60º F, Breezy","None","","Humans, Dogs, Mouse or Baby Rat","Busy","",1,3,22,60,15.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"248","17B","AM",10102018,166,"73º F, Sunny","None","","Humans, Dogs, Pigeons","Busy","",1,3,20,73,22.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"249","17C","PM",10132018,141,"50s, sunny","None","","Humans","Busy","",1,5,25,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"250","17D","PM",10082018,184,"66º F, misty, cloudy , humid","None","","Humans","Calm","",1,0,10,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"251","17D","AM",10082018,184,"67º F, misty, cloudy, humid","None","","Humans, Dogs","Calm","",1,7,20,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"252","17E","PM",10182018,178,"73º F","Some","","Humans, Cats","Moderate","Partially blocked due to contruction",1,3,20,73,22.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"253","17E","AM",10172018,247,"55º F, Sunny","None","","Birds, Ducks","Calm","",1,11,35,55,12.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"254","17F","PM",10202018,128,"61º F, Clear Sky","","","Humans","","",1,6,NA,61,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"255","17F","AM",10072018,173,"70º F, Cloudy","None","","Humans, Dogs","Moderate","",1,7,50,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"256","17G","AM",10182018,76,"40º F, Windy, Clear","Some","","Humans, Dogs","Busy","",1,1,24,40,4.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"257","17G","PM",10172018,104,"62º F, Sunny, light breeze & light sprinkle later on","None","","Humans, Dogs, Other birds","Busy","",1,4,25,62,16.7,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"258","17H","PM",10072018,87,"79º F, Cloudy","None","","Humans, Dogs","Busy","",1,2,20,79,26.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"259","17H","AM",10102018,255,"70º F, Humid and partly sunny","Some","","Humans, Dogs, Robin","Moderate","",1,0,25,70,21.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"260","17I","PM",10172018,202,"62º F, cloudy, windy","Abundant","","Humans, Dogs, Pigeons, Cats","Busy","",1,1,20,62,16.7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"261","17I","AM",10142018,230,"49º F, calm & crisp","Some","","Humans, Dogs","Busy","With street noise",1,4,27,49,9.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"262","18A","PM",10182018,69,"49º F, Clear","Some","","Dogs, Robins, Mourning Dove, Sparrow","Busy","",1,1,20,49,9.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"263","18A","AM",10122018,211,"58º F, cloudy, very windy","Some","","Humans, Dogs, Robins, Blue jays","Calm","",1,2,30,58,14.4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"264","18B","PM",10182018,95,"Sunny, Windy, Cool","","","","","",1,0,30,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"265","18B","AM",10172018,247,"57º F, sunny","None","","","Calm","",1,0,20,57,13.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"266","18C","PM",10182018,95,"","None","","Humans, Dogs","Busy","",1,9,40,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"267","18C","AM",10182018,224,"40º F, Cold, Sunny, Windy","None","","Humans, Dogs, Birds (lots)","Moderate","",1,2,20,40,4.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"268","18D","PM",10172018,138,"63º F, mostly sunny, off-&-on windy","Some","","Humans, Dogs, Small birds","Calm","",1,1,20,63,17.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"269","18E","PM",10062018,114,"65º F, drizzly","","","Humans, Dogs","Busy","",1,1,21,65,18.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"270","18E","AM",10122018,211,"58º F, cloudy, very windy","None","","Humans, Dogs, Robins (Many)","Calm","",1,0,23,58,14.4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"271","18G","PM",10132018,203,"49º F, breezy, partly cloudy","None","","Humans, Dogs","","",1,4,20,49,9.4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"272","18H","PM",10142018,201,"58º F, cool","None","","Humans","Busy","",1,3,20,58,14.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"273","18H","AM",10182018,239,"44º F, Sunny, Clear Sky, Gusty","None","","Humans","Calm","",1,2,25,44,6.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"274","18I","AM",10172018,37,"50º F, sunny","Abundant","","Humans, Dogs","Calm","",1,3,20,50,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"275","18I","PM",10072018,220,"79º F, Partly Cloudy","","","Humans, Dogs, Pigeons","Busy","",1,9,20,79,26.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"276","19A","PM",10132018,13,"~Low 50s, cold, partly cloudy, sunshine","Some","1 reusable bag","Humans, Dogs, Sparrows, Blue Finch-like Birds, Robins, Blackbirds","Busy","",1,6,26,50,10,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"277","19A","AM",10132018,209,"50º F, rain","None","","","Calm","Calm (in Park), Traffic",1,0,18,50,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"278","19B","AM",10192018,148,"46º F","Some","","Humans, Dogs, Birds, but less Robins, Sparrows, Crows, Sterlings, Doves","Busy","",1,2,25,46,7.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"279","19C","AM",10192018,148,"46º F, Sunny Breezy","Some","","Humans, Dogs, Robins, starling, Mourning dove, Finches, Sparrows","Busy","",1,0,25,46,7.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"280","19D","AM",10072018,252,"69º F","None","","Humans, Dogs","Busy","Busy on path",1,2,20,69,20.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"281","19D","PM",10082018,266,"68º F, misty","None","","Humans, Blue jays, Cardinals, Sparrows, Titmice","Moderate","",1,3,20,68,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"282","19E","PM",10182018,69,"49º F, Clear","None","","Dogs","Calm","",1,5,30,49,9.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"283","19E","AM",10072018,252,"69º F, Cloudy. A bit humid","None","","Dogs","Busy","Busy on suncuncting(?) path",1,0,20,69,20.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"284","19F","PM",10172018,151,"63º F, windy, cloudy","","","Humans, Dogs","Calm","",1,7,30,63,17.2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"285","19F","AM",10072018,173,"29º C, Cloudy","None","","Dogs","Calm","",1,3,50,29,-1.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"286","19G","AM",10182018,17,"43º F, Sunny","Some","","Humans, Dogs","Busy","",1,0,25,43,6.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"287","19G","PM",10172018,202,"62º F, Partly Cloudy, very windy (attacked by flying leaves kind)","None","","Humans, Dogs","Busy","",1,3,24,62,16.7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
